,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
0,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0000.flac,0.10714285714285714,0.20280612244897955,0.13437915890124208,0.5,0.7307692307692308,0.5945307439250693,0.6428571428571429,0.8214285714285714,0.7187348003562559,0.14285714285714285,0.2380952380952381,0.17080884531238993,0.35714285714285715,0.554945054945055,0.4224389053913988,0.5357142857142857,0.75,0.5751124872602558,0.25,0.4375,0.2947018031128891,0.35714285714285715,0.5178571428571428,0.4940587940187697,0.7142857142857143,0.8298319327731092,1.0,0.6785714285714286,0.8298319327731092,0.7746330591180626,0.42857142857142855,0.5646258503401361,0.5361951358779014,M
1,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0001.flac,0.25,0.3571428571428572,0.26519165635052977,1.0,1.0,1.0,0.75,0.8392857142857143,1.0,0.25,0.3571428571428572,0.26519165635052977,0.625,0.8125,1.0,0.875,0.9791666666666666,1.0,0.25,0.3571428571428572,0.26519165635052977,1.0,1.0,1.0,0.625,0.8125,1.0,1.0,1.0,1.0,0.75,0.9166666666666666,1.0,M
2,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0002.flac,0.1111111111111111,0.2098765432098766,0.1613280643670485,0.7222222222222222,0.9074074074074074,1.0,0.6666666666666666,0.8571428571428572,1.0,0.1111111111111111,0.2098765432098766,0.1613280643670485,0.3333333333333333,0.5294117647058824,0.4144911334436705,0.6111111111111112,0.8398692810457516,0.6465538275274532,0.16666666666666666,0.3055555555555555,0.24628375062920704,0.6666666666666666,0.8571428571428572,1.0,0.9444444444444444,0.9861111111111112,1.0,0.7222222222222222,0.8737373737373737,0.9998222035756116,0.3333333333333333,0.5294117647058824,0.3908303694616551,M
3,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0003.flac,0.14285714285714285,0.2653061224489797,0.210721663931232,0.42857142857142855,0.6190476190476191,0.4603910985470701,0.42857142857142855,0.6190476190476191,0.4603910985470701,0.14285714285714285,0.2653061224489797,0.210721663931232,0.2857142857142857,0.4047619047619048,0.30624720023347474,0.14285714285714285,0.2653061224489797,0.210721663931232,0.14285714285714285,0.2653061224489797,0.210721663931232,0.2857142857142857,0.4047619047619048,0.30624720023347474,0.8571428571428571,0.9285714285714286,1.0,0.7142857142857143,0.8857142857142857,1.0,0.2857142857142857,0.2857142857142857,0.3296799539643607,M
4,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0004.flac,0.4545454545454545,0.6363636363636365,0.5592525417445051,0.2727272727272727,0.4181818181818181,0.3174797390541935,0.2727272727272727,0.4181818181818181,0.3174797390541935,0.4545454545454545,0.6363636363636365,0.5592525417445051,0.2727272727272727,0.4181818181818181,0.3174797390541935,0.3636363636363637,0.5545454545454546,0.41305138000663705,0.18181818181818185,0.3305785123966941,0.25815787735275364,0.2727272727272727,0.4181818181818181,0.3174797390541935,0.7272727272727273,0.8636363636363636,1.0,0.5454545454545454,0.6212121212121212,0.6761182630189525,0.6363636363636364,0.7090909090909091,0.9998261636046938,M
5,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0005.flac,0.2272727272727273,0.3596837944664031,0.2566957927311383,0.6363636363636364,0.8106060606060606,0.6376968879229079,0.4545454545454545,0.7024793388429753,0.5033451127555739,0.2727272727272727,0.4288537549407115,0.3235351168398617,0.4545454545454545,0.6287878787878788,0.4935950130192359,0.4545454545454545,0.6660079051383399,0.4968210125330508,0.3636363636363637,0.5553359683794467,0.4128861209551148,0.4090909090909091,0.5151515151515151,0.40936569910762977,0.6363636363636364,0.7922077922077922,0.7204395524895542,0.6818181818181818,0.8689839572192514,0.7396270081152657,0.5909090909090909,0.6700336700336701,0.5339233192243992,M
6,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0006.flac,0.2916666666666667,0.46,0.34405025525133626,0.7083333333333334,0.8840579710144928,0.7301163699743302,0.75,0.9210526315789472,0.7602901109963005,0.2916666666666667,0.46,0.34405025525133626,0.2916666666666667,0.46,0.34731544648178303,0.5,0.693840579710145,0.5804374527733902,0.3333333333333333,0.5183333333333333,0.369777275597006,0.5833333333333334,0.7916666666666666,0.6484162064333421,0.9583333333333334,0.9947916666666666,1.0,0.75,0.9166666666666666,0.9998374200593356,0.6666666666666666,0.83125,1.0,M
7,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0007.flac,0.0,0.0,0.0,0.625,0.859375,0.999712821269972,0.625,0.859375,0.999712821269972,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.859375,0.999712821269972,0.375,0.4791666666666666,0.99955971168699,0.625,0.8125,0.9997217595812772,1.0,1.0,1.0,0.5,0.75,0.5309595946712403,0.125,0.125,0.1331221002498183,M
8,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0008.flac,0.26666666666666666,0.3999999999999999,0.31452218364219586,0.6,0.84,0.9996663857094296,0.4666666666666667,0.6625000000000001,0.5128069752056629,0.26666666666666666,0.3999999999999999,0.31452218364219586,0.3333333333333333,0.5238095238095238,0.39934257693263664,0.5333333333333333,0.7333333333333334,0.9996371992200228,0.3333333333333333,0.4622222222222223,0.3384372563047873,0.26666666666666666,0.4622222222222223,0.3357494047431393,0.7333333333333333,0.9030303030303032,1.0,0.4,0.6142857142857143,0.5029278470463436,0.6666666666666666,0.8809523809523809,0.6759218771655373,M
9,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0009.flac,0.1851851851851852,0.30026455026455023,0.2256709268815709,0.8888888888888888,0.9814814814814816,1.0,0.9629629629629628,0.9969135802469136,1.0,0.2962962962962963,0.4857549857549858,0.3478594055526343,0.7037037037037037,0.8695652173913043,0.7120238199769364,0.7777777777777778,0.9333333333333332,1.0,0.4814814814814815,0.6212121212121212,0.5250719681815967,0.8518518518518519,0.962962962962963,0.9999131352534548,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.7777777777777778,0.6461556550415469,M
