,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
0,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0000.flac,0.17857142857142858,0.29064039408867004,0.15351666953090448,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.5714285714285714,0.3882690561959635,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.9396551724137931,0.7635966841042969,1.0,1.0,1.0,0.9642857142857144,0.9910714285714286,1.0,1.0,1.0,1.0,0.8214285714285714,0.9556650246305419,0.7279437629219814,M
1,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0001.flac,0.375,0.4791666666666666,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3571428571428572,0.3778437342969677,0.75,0.9375,1.0,1.0,1.0,1.0,0.75,0.9285714285714286,1.0,1.0,1.0,1.0,0.875,0.9375,1.0,1.0,1.0,1.0,0.625,0.6527777777777778,0.9995977587681006,M
2,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0002.flac,0.1111111111111111,0.2098765432098766,0.15511648286112434,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.7777777777777778,0.6480013314516778,0.8888888888888888,0.9851851851851852,1.0,0.8888888888888888,0.9753086419753086,1.0,0.9444444444444444,0.996031746031746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,0.7777777777777778,0.8383838383838385,0.6870704913784565,M
3,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0003.flac,0.14285714285714285,0.2653061224489797,0.210721663931232,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.4897959183673469,0.3682944742328403,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8163265306122449,0.9996698961566738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428572,0.9997458034531372,M
4,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0004.flac,0.18181818181818185,0.2636363636363636,0.2223299719911284,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818185,0.2636363636363636,0.2223299719911284,1.0,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,0.7727272727272727,0.6073226412889421,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,0.9848484848484848,1.0,0.8181818181818182,0.8376623376623377,0.6936316646831593,M
5,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0005.flac,0.2727272727272727,0.3863636363636364,0.3043185209745429,0.9545454545454546,0.990909090909091,1.0,0.9545454545454546,0.9772727272727272,1.0,0.5,0.7024793388429753,0.5204511524162043,0.9090909090909092,0.98989898989899,1.0,0.8636363636363636,0.9590909090909092,1.0,0.6363636363636364,0.8383838383838385,0.9997627677297526,0.9545454545454546,0.9772727272727272,1.0,0.9545454545454546,0.9886363636363636,1.0,0.9090909090909092,0.9545454545454546,1.0,0.7727272727272727,0.7439393939393939,0.9997292635108332,M
6,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0006.flac,0.2916666666666667,0.46,0.31422590998289524,0.9583333333333334,0.9916666666666668,1.0,1.0,1.0,1.0,0.5416666666666666,0.7272727272727273,0.5697396601129837,0.8333333333333334,0.9666666666666668,1.0,0.9166666666666666,0.9880952380952379,1.0,0.8333333333333334,0.8794642857142857,0.7493024974127577,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9791666666666666,1.0,0.5416666666666666,0.7183333333333333,0.4683022327706186,M
7,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0007.flac,0.5,0.6527777777777778,0.9995977587681006,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.9997458034531372,0.875,0.975,1.0,1.0,1.0,1.0,0.625,0.7777777777777778,0.999689095675978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9285714285714286,1.0,M
8,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0008.flac,0.26666666666666666,0.3999999999999999,0.31452218364219586,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4622222222222223,0.3357494047431393,0.9333333333333332,0.9955555555555556,1.0,1.0,1.0,1.0,0.4666666666666667,0.5518518518518518,0.4432434558319479,0.8666666666666667,0.9703703703703704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.8366666666666667,0.9997336018922758,M
9,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0009.flac,0.1111111111111111,0.17328042328042326,0.13717022580247695,1.0,1.0,1.0,1.0,1.0,1.0,0.5185185185185185,0.7019400352733687,0.6021999401969129,1.0,1.0,1.0,0.9629629629629628,0.9947089947089948,1.0,0.8148148148148148,0.9351851851851852,0.7776811013807362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8148148148148148,0.8641975308641976,0.999785950807336,M
