,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
0,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0000.flac,0.4642857142857143,0.6613756613756614,0.4760640699546893,1.0,1.0,1.0,1.0,1.0,1.0,0.5357142857142857,0.6956521739130435,0.5963278848396769,0.6071428571428571,0.8035714285714286,1.0,0.6785714285714286,0.8685064935064934,1.0,0.8571428571428571,0.974025974025974,1.0,0.8214285714285714,0.9188311688311688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6428571428571429,0.8376623376623377,1.0,M
1,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0001.flac,0.125,0.234375,0.18038199477784772,0.875,0.975,1.0,1.0,1.0,1.0,0.125,0.234375,0.18038199477784772,0.75,0.9,1.0,0.875,0.975,1.0,0.875,0.96875,1.0,0.875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666666,1.0,M
2,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0002.flac,0.1111111111111111,0.2098765432098766,0.13631664321164794,1.0,1.0,1.0,1.0,1.0,1.0,0.6111111111111112,0.7905982905982906,0.9997373662315612,0.5555555555555556,0.7777777777777778,0.621721050458143,0.7777777777777778,0.9131944444444444,1.0,0.7222222222222222,0.8842592592592593,0.7821609135829675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6111111111111112,0.7777777777777778,0.5950734550375312,M
3,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0003.flac,0.14285714285714285,0.2653061224489797,0.210721663931232,1.0,1.0,1.0,0.8571428571428571,0.9642857142857144,1.0,0.2857142857142857,0.4897959183673469,0.30529038398971303,0.7142857142857143,0.8857142857142857,1.0,0.8571428571428571,0.9642857142857144,1.0,0.2857142857142857,0.4897959183673469,0.30529038398971303,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0,0.8571428571428571,0.9523809523809524,1.0,0.7142857142857143,0.9047619047619048,1.0,M
4,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0004.flac,0.3636363636363637,0.44318181818181823,0.4874796146623723,0.5454545454545454,0.7159090909090909,0.9997177811845744,0.9090909090909092,0.9848484848484848,1.0,0.3636363636363637,0.44318181818181823,0.4874796146623723,0.3636363636363637,0.44318181818181823,0.4874796146623723,0.3636363636363637,0.44318181818181823,0.4874796146623723,0.5454545454545454,0.7727272727272727,0.6073226412889421,0.5454545454545454,0.7474747474747474,0.6120614446264151,1.0,1.0,1.0,0.9090909090909092,0.9848484848484848,1.0,0.7272727272727273,0.9181818181818182,1.0,M
5,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0005.flac,0.4545454545454545,0.6159090909090909,0.5030973553761403,1.0,1.0,1.0,0.9545454545454546,0.9886363636363636,1.0,0.6363636363636364,0.8159090909090909,1.0,0.8636363636363636,0.9345454545454546,1.0,1.0,1.0,1.0,0.8636363636363636,0.9727272727272728,1.0,0.9545454545454546,0.9848484848484848,1.0,0.9545454545454546,0.990909090909091,1.0,0.9545454545454546,0.9886363636363636,1.0,0.8636363636363636,0.9784688995215312,1.0,M
6,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0006.flac,0.3333333333333333,0.4526515151515152,0.3819739578593832,0.9583333333333334,0.9895833333333334,1.0,1.0,1.0,1.0,0.4166666666666667,0.4791666666666666,0.4714768924161888,0.7083333333333334,0.8865740740740741,0.6744613259935652,0.875,0.9821428571428572,1.0,0.7916666666666666,0.9348958333333334,1.0,0.9583333333333334,0.9930555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8666666666666667,0.7110676156031109,M
7,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0007.flac,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,M
8,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0008.flac,0.4666666666666667,0.6142857142857143,0.4399265461663529,0.9333333333333332,0.9866666666666668,1.0,0.8,0.925,1.0,0.4666666666666667,0.7155555555555555,0.9996437147783008,0.7333333333333333,0.9288888888888888,1.0,0.8666666666666667,0.9822222222222222,1.0,0.8666666666666667,0.9794871794871794,1.0,0.8,0.925,1.0,0.7333333333333333,0.8222222222222222,1.0,1.0,1.0,1.0,0.9333333333333332,0.993939393939394,1.0,M
9,D:/hello/ASR/LibriSpeech/test-clean/1089\134686\1089-134686-0009.flac,0.3703703703703704,0.5555555555555556,0.3765288603855384,0.9629629629629628,0.9814814814814816,1.0,1.0,1.0,1.0,0.7407407407407407,0.8703703703703703,0.9998720305729154,0.8518518518518519,0.9703703703703704,1.0,0.9629629629629628,0.9973544973544972,1.0,0.7777777777777778,0.8888888888888888,0.8714327210995068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.7575757575757576,0.6570215703401971,M
